"","x"
"1","species_2_Node.ID"
"2","species_1_Node.ID"
"3","species_2_id"
"4","species_1_id"
"5","Sp1.Species.Stage.ID"
"6","species_1_stage.ID"
"7","species_1_stage"
"8","species_1.accepted.name"
"9","species_2_id.1"
"10","Sp2.Species.Stage.ID"
"11","species_2_stage.ID"
"12","species_2_stage"
"13","species_2.accepted.name"
"14","interaction_sign"
"15","interaction_strength"
"16","Interaction_code"
"17","interaction_type"
"18","Justification"
"19","data.source"
"20","initials"
"21","Notes"
"22","latitude"
"23","longitude"
"24","Reference"
"25","ecosystem"
"26","tidal_zone"
"27","depth_meters"
"28","site_name"
"29","state"
"30","in_lab"
"31","experiment_or_observation"
"32","month"
"33","year_of_study"
"34","length_in_months_of_study"
"35","paper_id"
"36","last_name_first_author"
"37","year_published"
"38","DOI"
"39","in_maine"
"40","Timestamp"
"41","wave_exposure"
