"species_2_Node.ID","species_1_Node.ID","species_2_id","species_1_id","Sp1.Species.Stage.ID","species_1_stage.ID","species_1_stage","species_1.accepted.name","species_2_id","Sp2.Species.Stage.ID","species_2_stage.ID","species_2_stage","species_2.accepted.name","interaction_sign","interaction_strength","Interaction_code","interaction_type","Justification","data.source","initials","Notes","latitude","longitude","Reference","ecosystem","tidal_zone","depth_meters","site_name","state","in_lab","experiment_or_observation","month","year_of_study","length_in_months_of_study","paper_id","last_name_first_author","year_published","DOI","in_maine","Timestamp","wave_exposure"
"169",1,169,1,1.1,1,"adult","Mytilus edulis",169,169.1,1,"adult","Detritus.drift.algae","-1","No","1","herbivory","3","Paper.Database","JRR; DHC","; Algae as an important food item for mytilus edulis in Upper South Bay, Nova Scotia ","NA","NA","231.Both.2020.; 159.Seed.1993.","","","NA","Saco Bay ; Upper South Cove","ME; Nova Scotia","No","observational; experimental","NA","2016; NA","NA","231; 159","Both; Seed","2020; 1993","","Yes; No","12/3/2021 15:54:05; 12/9/2021 8:48:39",""
"171",1,171,1,1.1,1,"adult","Mytilus edulis",171,171.1,1,"adult","Diatoms.benthic","-1","No","1","herbivory","3","Paper.Database","JRR; DHC","In intertidal salt marsh in France; Mytilus edulis gut content ","NA","NA","775.Fiera.1999.10.3354/meps187301; 159.Seed.1993.","","","NA","","France; ME","No; ","observational","NA","NA","NA","775; 159","Fiera; Seed","1999; 1993","10.3354/meps187301; ","No; Yes","11/6/2021 13:21:30; 12/9/2021 0:20:04",""
"174",1,174,1,1.1,1,"adult","Mytilus edulis",174,174.1,1,"adult","Diatoms.planktonic","-1","No","1","herbivory","3","Paper.Database","DHC","Drogue experiments in Mud Cove, Stonington ME found blue mussels feeding on benthic diatoms. ;  Mytilus edulis gut content ","NA","NA","159.Seed.1993.","","","NA","Mud Cove; ","ME","No","experimental; observational","6; NA","1990; NA","4; NA","159","Seed","1993","","Yes","12/6/2021 11:39:56; 12/9/2021 0:07:22","not mentioned; "
"176",1,176,1,1.1,1,"adult","Mytilus edulis",176,176.1,1,"adult","Microplankton, bacteria, protozoa, nanoplankton","-1","No","1","herbivory","6","inferred by D Morton","DHC","Drogue experiments in Mud Cove, Stonington ME found blue mussels feeding on benthic diatoms. ;  Mytilus edulis gut content ","NA","NA","159.Seed.1993.","","","NA","Mud Cove; ","ME","No","experimental; observational","6; NA","1990; NA","4; NA","159","Seed","1993","","Yes","","not mentioned; "
"320",1,250,1,1.1,1,"adult","Mytilus edulis",250,250.1,1,"adult","Cyanobacteriaceae","-1","No","1","herbivory","4","inferred by D Morton","DNM","based off feeding on benthic diatoms. Can be suspended by wave action and consumed by filter feeders","NA","NA","775.Fiera.1999.10.3354/meps187301; 159.Seed.1993.","","","NA","","France; ME","No; ","observational","NA","NA","NA","775; 159","Fiera; Seed","1999; 1993","10.3354/meps187301; ","No; Yes","11/6/2021 13:21:30; 12/9/2021 0:20:04",""
"29",11,29,11,11.1,1,"adult","Lacuna vincta",29,29.1,1,"adult","Fucus vesiculosus","-1","No","1","herbivory","3","inferred by D Morton","DNM","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
"36",11,36,11,11.1,1,"adult","Lacuna vincta",36,36.1,1,"adult","Chondrus crispus","-1","No","1","herbivory","3","Paper.Database","JRR","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
"38",11,38,11,11.1,1,"adult","Lacuna vincta",38,38.1,1,"adult","Mastocarpus stellatus","-1","No","1","herbivory","3","inferred by D Morton","DNM","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
"46",11,46,11,11.1,1,"adult","Lacuna vincta",46,46.1,1,"adult","Carradoriella elongata","-1","No","1","herbivory","6","inferred by D Morton","DNM","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
"48",11,48,11,11.1,1,"adult","Lacuna vincta",48,48.1,1,"adult","Ceramium deslongchampsii","-1","No","1","herbivory","3","Paper.Database","ANW","ceramium species = ceramium virgatum","NA","NA","37.Jones.2010.10.3354/meps08391","rocky intertidal","low","NA","Brenton Point State Park","Rhode Island","Yes","experimental","6","2005","15","37","Jones","2010","10.3354/meps08391","No","6/15/21 15:21",""
