"Node.ID","Accepted.species.name","Disagg.Node.ID","Species.ID","Species.Stage.ID","stage_ID","Exp.Aggregated.Node.ID","Exp.Aggregated.name","stage","Disagg.species.name","Phylum","Class","Order","Genus","species","Node.Resolution","functional.group","metabolic_type","movement_type","transience","captured.by.historical.surveys","captured.by.Allen.Island.surveys","synonyms","Locality","Reference","life.history","AphiaID","Notes","Justification","common.name","Working.group","Organismal.group","Abundant.or.important","confirmed.on.Allen.Island","keep.remove","Exctinction.allowed","Detection.in.historical.surveys","Detection.in.experiment","TL","OI"
2,"Semibalanus balanoides","2","2","2.1","1","2","Semibalanus balanoides","adult","Semibalanus balanoides","Arthropoda","Thecostraca","Balanomorpha","Semibalanus","balanoides","species","filter feeder","heterotroph","sessile","resident","yes","yes","Balanus balanoides (Linnaeus, 1767) (Synonym); Lepas balanoides Linnaeus, 1767","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","acorn barnacle","Barnacle","Cirripedia","x","x","NA","Y","y","y",2.16666666666667,0.138888888888889
3,"Modiolus modiolus","3","3","3.1","1","3","Modiolus modiolus","adult","Modiolus modiolus","Mollusca","Bivalvia","Mytilida","Modiolus","modiolus","species","filter feeder","heterotroph","sessile","resident","yes","yes","Modiola gallica Dautzenberg, 1895; Modiola gigantea Clessin, 1889; Modiola grandis Philippi, 1844; Modiola modiolus (Linnaeus, 1758); Modiola modiolus var. minor Cailliaud, 1865; Modiola papuana Lamarck, 1801; Modiola vulgaris J. Fleming, 1828; Modiolus gallicus (Dautzenberg, 1895); Musculus modulus Röding, 1798; Mytilus curtus Pennant, 1777; Mytilus curvirostratus da Costa, 1778 (synonym); Mytilus curvirostrus da Costa, 1778; Mytilus modiolus Linnaeus, 1758; Mytilus modiolus var. cylindrica J. T. Marshall, 1893
Mytilus modiolus var. gigas J. T. Marshall, 1893; Mytilus modiolus var. ovata Jeffreys, 1864; Mytilus umbilicatus Pennant, 1777","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.; Doggett, L. F., Larsen, P. F., & Sykes, S. C. (1978). Intertidal bedrock areas of high species diversity in Maine, and their relevance to the Critical Areas Program. Maine State Planning Office, Natural Resource Planning Division, Critical Areas Program.","free.living","NA","","direct observation; in literature","horse mussel","bivalves","Bivalvia","x","x","NA","Y","y","y",2.16666666666667,0.138888888888889
8,"Littorina littorea","8","8","8.1","1","8","Littorina littorea","adult","Littorina littorea","Mollusca","Gastropoda","Littorinimorpha","Littorina","littorea","species","herbivore","heterotroph","mobile","resident","yes","yes","Cerion botrys Röding, 1798 (junior synonym); Littorina armoricana Locard, 1886; Littorina bartonensis T. Brown, 1843; Littorina communis T. Brown, 1843; Littorina litorea [sic] (misspelling of Littorina littorea (Linnaeus, 1758)); Littorina parva Teilman-Friis, 1898; Littorina rudis var. aurantia Dautzenberg & P. Fischer, 1925; Littorina rudis var. reevei Harmer, 1921; Littorina sphaeroidalis Locard, 1886; Littorina vulgaris J. Sowerby, 1832; Turbo bicarinatus Woodward, 1833; Turbo carinatus Woodward, 1833; Turbo elongatus Woodward, 1833; Turbo litoreus [sic] (misspelling); Turbo littoreus Linnaeus, 1758 (original combination); Turbo sulcatus Woodward, 1833; Turbo ustulatus Lamarck, 1822; Turbo ventricosus Woodward, 1833","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Original name Turbo littoreus Linnaeus, 1758","direct observation; in literature","common periwinkle","snails","Gastropoda","x","x","NA","Y","y","y",2,1.26243937482606e-28
10,"Strongylocentrotus droebachiensis","10","10","10.1","1","10","Strongylocentrotus droebachiensis","adult","Strongylocentrotus droebachiensis","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotus","droebachiensis","species","herbivore","heterotroph","mobile","resident","yes","yes","Echinometra droebachiensis (O.F. Müller, 1776) (transferred to Strongylocentrotus); Echinus (Toxopneustes) droebachiensis (O.F. Müller, 1776) (transferred to Strongylocentrotus); Echinus (Toxopneustes) dübenii L. Agassiz in L. Agassiz & Desor, 1846 (incorrect original spelling (mandatory changed according to ICZN 4th Ed. Article 32.5.2.1.)); Echinus chlorocentrotus Des Moulins, 1837 (subjective junior synonym); Echinus dröbachiensis O.F. Müller, 1776 (incorrect original spelling (mandatory changed according to ICZN 4th Ed. Article 32.5.2.1.)); Echinus droebachiensis O.F. Müller, 1776 (transferred to Strongylocentrotus); Echinus pictus (Norman, 1869) (subjective junior synonym); Echinus subangularis Fleming, 1829 (subjective junior synonym); Euryechinus droebachiensis (O.F. Müller, 1776) (transferred to Strongylocentrotus); Euryechinus granulatus (Gould, 1841) (subjective junior synonym); Strongylocentrotus chlorocentrotus (Des Moulins, 1837) (subjective junior synonym); Strongylocentrotus chlorocentrotus Brandt, 1835 (subjective junior synonym); Strongylocentrotus Draebachiensis (misspelling); Strongylocentrotus granularis (Say, 1827 non Lamarck, 1816) (misidentification); Strongylocentrotus pictus (Norman, 1869) (subjective junior synonym); Toxopneustes droebachiensis (O.F. Müller, 1776)","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Mispelling in original species list version; Original name Echinus droebachiensis O.F. Müller, 1776","direct observation; in literature","sea urchins","Urchins","Echinoidea","x","x","NA","Y","y","y",2.51937134502926,0.576278775851001
11,"Lacuna vincta","11","11","11.1","1","11","Lacuna vincta","adult","Lacuna vincta","Mollusca","Gastropoda","Littorinimorpha","Lacuna","vincta","species","herbivore","heterotroph","mobile","resident","yes","yes","Epheria vincta (Montagu, 1803); Lacuna albella Lovén, 1846 (synonym); Lacuna arctica Philippi, 1853 (synonym); Lacuna carinata Gould, 1848; Lacuna frigida Lovén, 1846 (synonym); Lacuna gracilior Metcalfe in Thorpe, 1844 (synonym); Lacuna labiosa Lovén, 1846 (synonym); Lacuna pertusa Conrad, 1831 (synonym); Lacuna solidula Lovén, 1846 (synonym); Lacuna vincta var. fusca Gould, 1841 (synonym); Phasianella bifasciata T. Brown, 1827 (synonym); Phasianella cornea T. Brown, 1827 (synonym); Phasianella striata T. Brown, 1827 (synonym); Trochus divaricatus Fabricius, 1780 (synonym); Turbo canalis Montagu, 1803 (synonym); Turbo quadrifasciatus Montagu, 1803 (synonym); Turbo vinctus Montagu, 1803","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Half of synonyms inlcuded in search 1, remaining (starting after Lacuna pertusa in the next columns)","direct observation; in literature","northern lacuna","snails","Gastropoda","","x","NA","Y","y","y",1.99999999999999,5.45521967863618e-28
14,"Nucella lapillus","14","14","14.1","1","14","Nucella lapillus","adult","Nucella lapillus","Mollusca","Gastropoda","Neogastropoda","Nucella","lapillus","species","predator","heterotroph","mobile","resident","yes","yes","Buccinum filosum Gmelin, 1791 (synonym); Buccinum lapillus Linnaeus, 1758 (original combination); Nassa ligata Röding, 1798 (synonym); Nassa rudis Roding, 1798 (synonym); Nucella lapillus var. major Jeffreys, 1867 (synonym); Nucella lapillus var. minor Jeffreys, 1867 (synonym); Nucella theobroma Roding, 1798 (synonym); Purpura bizonalis Lamarck, 1822 (synonym); Purpura buccinoidea Blainville, 1829 (synonym); Purpura celtica Locard, 1886 (synonym); Purpura imbricata Lamarck, 1822 (synonym); Purpura lapillina Locard, 1886 (synonym); Purpura lapillus (Linnaeus, 1758); Purpura lapillus var. anomala Middendorff, 1849 (synonym); Purpura lapillus var. aurantia Dautzenberg, 1887 (synonym); Purpura lapillus var. bizonalis Lamarck, 1822 (synonym); Purpura lapillus var. caerulescens Dautzenberg, 1920 (synonym); Purpura lapillus var. castanea Dautzenberg, 1887 (synonym); Purpura lapillus var. celtica Locard, 1886 (synonym); Purpura lapillus var. citrina Dautzenberg, 1920 (synonym); Purpura lapillus var. crassissima Dautzenberg, 1887 (synonym); Purpura lapillus var. fauce-violaceo Dautzenberg, 1887 (synonym); Purpura lapillus var. fusco-apicata Dautzenberg & Fischer, 1925 (synonym); Purpura lapillus var. lactea Dautzenberg, 1887 (synonym); Purpura lapillus var. major Jeffreys, 1867 (synonym); Purpura lapillus var. minor Jeffreys, 1867 (synonym); Purpura lapillus var. mixta Dautzenberg, 1920 (synonym); Purpura lapillus var. monozonalis Dautzenberg, 1920 (synonym); Purpura lapillus var. ponderosa Verkrüzen, 1881 (synonym); Purpura lineolata Dautzenberg, 1887 (synonyms); Thais lapillus (Linnaeus, 1758) (synonym)","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","dogwhelk","snails","Gastropoda","x","x","NA","Y","y","y",3.08333333333335,0.00694444444444539
15,"Asterias rubens","15","15","15.1","1","15","Asterias rubens","adult","Asterias rubens","Echinodermata","Asteroidea","Forcipulatida","Asterias","rubens","species","predator","heterotroph","mobile","resident","yes","yes","Asteracanthion rubens (Linnaeus, 1758); Asteracanthion violaceus (O.F. Muller, 1788) (Synonym); Asteracanthium distichum Brandt, 1851; Asterias (Leptasterias) stimpsoni Verrill, 1866; Asterias attenuata Bell, 1891; Asterias clathrata Pennant, 1777 (synonym); Asterias distichum (Brandt, 1851) (Synonym); Asterias fabricii Agassiz in Perrier, 1875 (Synonym according to Verrill (1895)); Asterias holsatica Bruzelius, 1805 (Synonym according to Sladen (1889)); Asterias minuta Linnaeus, 1761 (synonym according to Madsen (1987)); Asterias murrayi Bell, 1891 (synonym according to Mortensen (1927)); Asterias rubens var. attenuata Bell, 1891; Asterias rubens violacea O.F. Müller, 1776 (synonym); Asterias spinosa Say, 1825 (synonym according to Downey in Clark & Downey (1992));  Asterias violacea O.F. Mueller, 1788 (Synonym according to Fisher (1930)); Asterias vulgaris Verrill, 1866 (synonym according to Downey in Clark & Downey (1992)); Stellonia rubens (Linnaeus, 1758); Uraster rubens (Linnaeus, 1758); Uraster violaceus (O.F. Müller, 1776) ","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.; Doggett, L. F., Larsen, P. F., & Sykes, S. C. (1978). Intertidal bedrock areas of high species diversity in Maine, and their relevance to the Critical Areas Program. Maine State Planning Office, Natural Resource Planning Division, Critical Areas Program.","free.living","NA","","direct observation; in literature","common sea star","sea stars","Asteroidea","x","x","NA","Y","y","y",2.99086257309942,0.362113575391942
16,"Cancer borealis","16","16","16.1","1","16","Cancer borealis","adult","Cancer borealis","Arthropoda","Malacostraca","Decapoda","Cancer","borealis","species","predator","heterotroph","mobile","resident","yes","yes","none","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","jonah crab","crabs and lobster","Brachyura","x","x","NA","Y","y","y",3.0289820890253,0.445600030747475
17,"Carcinus maenas","17","17","17.1","1","17","Carcinus maenas","adult","Carcinus maenas","Arthropoda","Malacostraca","Decapoda","Carcinus","maenas","species","predator","heterotroph","mobile","resident","yes","yes","Cancer granarius Herbst, 1783 (synonym); Cancer granulatus Say, 1817 [in Say, 1817-1818] (junior synonym); Cancer maenas Linnaeus, 1758 (basionym); Cancer pygmeus J.C. Fabricius, 1787 (junior synonym); Cancer rhomboidalis Montagu, 1804 (junior synonym); Cancer viridis Herbst, 1783 (synonym); Carcinus granulatus (Say, 1817) (superseded combination of junior synonym); Carcinus moenas (Linnaeus, 1758) (incorrect spelling); Megalopa montagui Leach, 1817 [in Leach, 1815-1875] (junior synonym); Portunus carcinoides Kinahan, 1857","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","green crab","crabs and lobster","Brachyura","x","x","NA","Y","y","y",2.96489398966801,0.672352673943462
20,"Tautogolabrus adspersus","20","20","20.1","1","20","Tautogolabrus adspersus","adult","Tautogolabrus adspersus","Chordata","Actinopteri","Eupercaria incertae sedis","Tautogolabrus","adspersus","species","predator","heterotroph","mobile","transient","no","no","Ctenolabrus adspersus (Walbaum, 1792); Ctenolabrus brandaonis Steindachner, 1867; Labrus adspersus Walbaum, 1792; Tautogolabrus brandaonis (Steindachner, 1867)","Gulf of Maine, USA","Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","rare, fish","in literature","Cunner wrasse","fishes","Teleostei","","","NA","Y","n","n",3.51698643629844,0.414170425356302
