"species_2_Node.ID","species_1_Node.ID","species_2_id","species_1_id","Sp1.Species.Stage.ID","species_1_stage.ID","species_1_stage","species_1.accepted.name","species_2_id.1","Sp2.Species.Stage.ID","species_2_stage.ID","species_2_stage","species_2.accepted.name","interaction_sign","interaction_strength","Interaction_code","interaction_type","Justification","data.source","initials","Notes","latitude","longitude","Reference","ecosystem","tidal_zone","depth_meters","site_name","state","in_lab","experiment_or_observation","month","year_of_study","length_in_months_of_study","paper_id","last_name_first_author","year_published","DOI","in_maine","Timestamp","wave_exposure"
169,2,169,2,2.1,1,"adult","Semibalanus balanoides",169,169.1,1,"adult","Detritus.drift.algae",-1,"No",1,"herbivory","6","inferred by D Morton","DNM","","","","https://www.duo.uio.no/bitstream/handle/10852/65727/MSc--Thesis-Jacquelyn-Marie-Diamond-.pdf?sequence=5&isAllowed=y","","","","","","","","","","","","","","","","",""
170,2,170,2,2.1,1,"adult","Semibalanus balanoides",170,170.1,1,"adult","Detritus.small.omnivorous.pom",-1,"No",1,"herbivory","6","inferred by D Morton","DNM","","","","https://www.duo.uio.no/bitstream/handle/10852/65727/MSc--Thesis-Jacquelyn-Marie-Diamond-.pdf?sequence=5&isAllowed=y","","","","","","","","","","","","","","","","",""
171,2,171,2,2.1,1,"adult","Semibalanus balanoides",171,171.1,1,"adult","Diatoms.benthic",-1,"No",1,"herbivory","6","inferred by D Morton","DNM","","","","https://www.duo.uio.no/bitstream/handle/10852/65727/MSc--Thesis-Jacquelyn-Marie-Diamond-.pdf?sequence=5&isAllowed=y","","","","","","","","","","","","","","","Y","",""
174,2,174,2,2.1,1,"adult","Semibalanus balanoides",174,174.1,1,"adult","Diatoms.planktonic",-1,"No",1,"herbivory","3","Paper.Database","JRR","second site at 43.63383N,69.85233W at 60m MLLW","43.79083","69.88867","698.Teegarden.2001.10.3354/meps218213","subtidal","","-10","Cundy's Harbor","ME","Yes","experimental","4","1998","14","698","Teegarden","2001","10.3354/meps218213","Yes","10/29/21 10:02","not mentioned"
176,2,176,2,2.1,1,"adult","Semibalanus balanoides",176,176.1,1,"adult","Microplankton, bacteria, protozoa, nanoplankton",-1,"No",1,"herbivory","6","inferred by D Morton","DNM","","","","https://www.duo.uio.no/bitstream/handle/10852/65727/MSc--Thesis-Jacquelyn-Marie-Diamond-.pdf?sequence=5&isAllowed=y","","","","","","","","","","","","","","","","",""
320,2,250,2,2.1,1,"adult","Semibalanus balanoides",250,250.1,1,"adult","Cyanobacteriaceae",-1,"No",1,"herbivory","3","Paper.Database","HL","","43.896417","69.572583","","estuary","","","Farmer's Island and Hodgson's Island","ME","no","observational","8","2015","1","975","Brown","2020","10.1186/s42523-020-00058-0","","",""
29,7,29,7,7.1,1,"adult","Littorina saxatilis",29,29.1,1,"adult","Fucus vesiculosus",-1,"No",1,"herbivory","3","Paper.Database","SLF; BCE","",NA,NA,"119.Dijkstra.2012.10.1111/j.1600-0706.2011.19712.x; 226.Dijkstra.2011.10.1111/j.1600-0706.2011.19712.x","rocky intertidal; estuary","mid; ",NA,"Wells National Estuarine Research Reserve; Little River estuary Wells National Estuarine Research Reserve","ME","Yes; No","experimental","7; NA","2009; NA","1; NA","119; 226","Dijkstra","2012; 2011","10.1111/j.1600-0706.2011.19712.x","Yes","6/30/2021 13:55:53; 7/21/2021 14:14:02",""
41,7,41,7,7.1,1,"adult","Littorina saxatilis",41,41.1,1,"adult","Ralfsia fungiformis",-1,"No",1,"predation","3","Globi","DNM",NA,"48.612273; 48.497686; 48.497256; 48.497064; 48.612274; 48.612437; 48.612117; 48.612572; 48.612159","-68.231071; -68.494574; -68.49521; -68.495416; -68.229777; -68.22975; -68.230525; -68.229489; -68.230736","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/29/22 14:00",NA
52,7,52,7,7.1,1,"adult","Littorina saxatilis",52,52.1,1,"adult","Ulva lactuca",-1,"No",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"55.Hooks.2014.10.1016/j.jembe.2014.07.022","rocky intertidal","low",NA,"Long Island, NY","New York","No","experimental","6","2012",NA,"55","Hooks","2014","10.1016/j.jembe.2014.07.022","No","7/3/21 10:01",""
171,7,171,7,7.1,1,"adult","Littorina saxatilis",171,171.1,1,"adult","Diatoms.benthic",-1,"No",1,"herbivory","4","inferred by D Morton","DNM","",NA,NA,"119.Dijkstra.2012.10.1111/j.1600-0706.2011.19712.x; 226.Dijkstra.2011.10.1111/j.1600-0706.2011.19712.x","rocky intertidal; estuary","mid; ",NA,"Wells National Estuarine Research Reserve; Little River estuary Wells National Estuarine Research Reserve","ME","Yes; No","experimental","7; NA","2009; NA","1; NA","119; 226","Dijkstra","2012; 2011","10.1111/j.1600-0706.2011.19712.x","Yes","",""
