"Node.ID","Species.ID","Species.Stage.ID","stage_ID","Exp.Aggregated.Node.ID","Exp.Aggregated.name","Hist.Aggregated.Node.ID","Hist.Aggregated.name","stage","Accepted.species.name","Phylum","Class","Order","Genus","species","Node.Resolution","functional.group","metabolic_type","movement_type","transience","captured.by.historical.surveys","captured.by.Allen.Island.surveys","synonyms","Locality","Reference","life.history","AphiaID","Notes","Justification","common.name","Working.group","Organismal.group","Abundant.or.important","confirmed.on.Allen.Island","keep.remove","Exctinction.allowed","Detection.in.historical.surveys","Detection.in.experiment","TL","OI"
1,"1","1.1","1","1","Mytilus edulis","1","Mytilus edulis","adult","Mytilus edulis","Mollusca","Bivalvia","Mytilida","Mytilus","edulis","species","filter feeder","heterotroph","sessile","resident","yes","yes","Mytilus abbreviatus Lamarck, 1819; Mytilus angulatus Williamson, 1834 (synonym); Mytilus borealis Lamarck, 1819; Mytilus edulis edulis Linnaeus, 1758; Mytilus edulis pusillus MacGillivray, 1843; Mytilus elegans T. Brown, 1827; Mytilus grunerianus Dunker, 1853
Mytilus minganensis Mighels, 1844; Mytilus notatus DeKay, 1843; Mytilus pellucidus Pennant, 1777; Mytilus petasunculinus Locard, 1886 (synonym); Mytilus retusus Lamarck, 1819; Mytilus retusus var. acrocyrta Locard, 1889 (synonym); Mytilus solitarius Williamson, 1834 (synonym); Mytilus spathulinus Locard, 1889 (synonym); Mytilus subsaxatilis Williamson, 1834; Mytilus trigonus Locard, 1889 (synonym); Mytilus ungulatus Linnaeus, 1758; Mytilus variabilis Fischer von Waldheim, 1807 (declared nomen oblitum by Cosel et al. (2014)); Mytilus vulgaris da Costa, 1778; Perna ungulina Philipsson, 1788","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","blue mussel","bivalves","Bivalvia","x","x","NA","Y","y","y",2.20000000000001,0.160000000000001
2,"2","2.1","1","2","Semibalanus balanoides","2","Semibalanus balanoides","adult","Semibalanus balanoides","Arthropoda","Thecostraca","Balanomorpha","Semibalanus","balanoides","species","filter feeder","heterotroph","sessile","resident","yes","yes","Balanus balanoides (Linnaeus, 1767) (Synonym); Lepas balanoides Linnaeus, 1767","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","acorn barnacle","Barnacle","Cirripedia","x","x","NA","Y","y","y",2.16666666666667,0.13888888888889
3,"3","3.1","1","3","Modiolus modiolus","3","Modiolus modiolus","adult","Modiolus modiolus","Mollusca","Bivalvia","Mytilida","Modiolus","modiolus","species","filter feeder","heterotroph","sessile","resident","yes","yes","Modiola gallica Dautzenberg, 1895; Modiola gigantea Clessin, 1889; Modiola grandis Philippi, 1844; Modiola modiolus (Linnaeus, 1758); Modiola modiolus var. minor Cailliaud, 1865; Modiola papuana Lamarck, 1801; Modiola vulgaris J. Fleming, 1828; Modiolus gallicus (Dautzenberg, 1895); Musculus modulus Röding, 1798; Mytilus curtus Pennant, 1777; Mytilus curvirostratus da Costa, 1778 (synonym); Mytilus curvirostrus da Costa, 1778; Mytilus modiolus Linnaeus, 1758; Mytilus modiolus var. cylindrica J. T. Marshall, 1893
Mytilus modiolus var. gigas J. T. Marshall, 1893; Mytilus modiolus var. ovata Jeffreys, 1864; Mytilus umbilicatus Pennant, 1777","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.; Doggett, L. F., Larsen, P. F., & Sykes, S. C. (1978). Intertidal bedrock areas of high species diversity in Maine, and their relevance to the Critical Areas Program. Maine State Planning Office, Natural Resource Planning Division, Critical Areas Program.","free.living","NA","","direct observation; in literature","horse mussel","bivalves","Bivalvia","x","x","NA","Y","y","y",2.16666666666667,0.13888888888889
6,"6","6.1","1","6","Crepidula fornicata","6","Crepidula fornicata","adult","Crepidula fornicata","Mollusca","Gastropoda","Littorinimorpha","Crepidula","fornicata","species","filter feeder","heterotroph","mobile","resident","yes","yes","Crepidula densata Conrad, 1843 (synonym); Crepidula virginica Conrad, 1870; Crypta nautarum Mörch, 1877; Patella fornicata Linnaeus, 1758","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Synonyms included in review search terms","direct observation; in literature","slipper limpet","snails","Gastropoda","","x","NA","Y","y","y",2.46666666666666,0.337777777777778
7,"7","7.1","1","7","Littorina saxatilis","7","Littorina saxatilis","adult","Littorina saxatilis","Mollusca","Gastropoda","Littorinimorpha","Littorina","saxatilis","species","herbivore","heterotroph","mobile","resident","yes","yes","Litorina groenlandica Menke, 1830; Litorina incarnata Philippi, 1846; Litorina marmorata L. Pfeiffer, 1839; Litorina sulcata Menke, 1830; Litorina tenebrosa (Montagu, 1803); Litorina tenebrosa var. intermedia Forbes & Hanley, 1850 (synonym); Littorina (Littorina) saxatilis (Olivi, 1792); Littorina castanea Deshayes in Deshayes & Milne Edwards, 1843; Littorina danieli Locard, 1886; Littorina groenlandica (Menke, 1830); Littorina marmorata Pfeiffer, 1839 (synonym); Littorina neglecta Bean, 1844 (synonym); Littorina nervillei Dautzenberg, 1893; Littorina nervillei var. major Pallary in Seurat, 1924; Littorina nigrolineata Gray, 1839; Littorina palliata var. turritella Schlesch, 1916; Littorina patula Thorpe, 1844 (dubious synonym); Littorina rudis (Maton, 1797) (synonym); Littorina rudis f. elatior Middendorff, 1849; Littorina rudis var. albida Dautzenberg, 1887; Littorina rudis var. alticola Dacie, 1917; Littorina rudis var. aurantia Dautzenberg, 1887; Littorina rudis var. brevis Dautzenberg, 1887; Littorina rudis var. conoidea Schlesch, 1916; Littorina rudis var. fasciata Dautzenberg, 1887; Littorina rudis var. finmarchia Herzenstein, 1885; Littorina rudis var. globosa Jeffreys, 1865; Littorina rudis var. globosa Martel, 1901; Littorina rudis var. laevis Jeffreys, 1865; Littorina rudis var. major Dautzenberg & P. Fisher, 1912; Littorina rudis var. rubescens Monterosato, 1878; Littorina rudis var. scotia S. M. Smith, 1979; Littorina rudis var. similis Jeffreys, 1865; Littorina rudis var. sulcata Martel, 1901; Littorina rudis var. tenebrosapallida L. E. Adams, 1896; Littorina rudis var. tessellata Dautzenberg, 1893; Littorina saxatile La Roque, 1953; Littorina saxatile saxatile La Roque, 1953; Littorina saxatilis G. Johnston, 1842; Littorina saxatilis f. abbreviata Dautzenberg & P. Fisher, 1912; Littorina saxatilis f. conoidea Dautzenberg & P. Fisher, 1912; Littorina saxatilis f. elongata Dautzenberg & P. Fisher, 1912; Littorina saxatilis f. minor Dautzenberg & P. Fisher, 1912; Littorina saxatilis groenlandica (Menke, 1830); Littorina saxatilis groenlandica var. sculpta Schlesch, 1931; Littorina saxatilis jugosa Montagu, 1803; Littorina saxatilis jugosa var. bynei Dautzenberg & P. Fisher, 1912; Littorina saxatilis jugosa var. tenuis James, 1968; Littorina saxatilis nigrolineata Gray, 1839; Littorina saxatilis rudis (Maton, 1797); Littorina saxatilis rudis var. rudissimoides James, 1968; Littorina saxatilis scotia Graham, 1988; Littorina saxatilis tenebrosa (Montagu, 1803); Littorina saxatilis tenebrosa var. biinterrupta Fischer-Piette & Gaillard, 1963; Littorina saxatilis tenebrosa var. bizonaria James, 1963; Littorina saxatilis tenebrosa var. elata Dautzenberg & P. Fisher, 1912; Littorina saxatilis tenebrosa var. maculata Fischer-Piette & Gaillard, 1963; Littorina saxatilis var. bynei Dautzenberg & Fischer H., 1912 (synonym); Littorina saxatilis var. clarilineata Fischer-Piette & Gaillard, 1971; Littorina saxatilis var. elata Dautzenberg & Fischer H., 1912 (synonym); Littorina saxatilis var. flammulata Dautzenberg & P. Fisher, 1912; Littorina saxatilis var. fulva Dautzenberg & P. Fisher, 1912; Littorina saxatilis var. fusca Dautzenberg & P. Fisher, 1912; Littorina saxatilis var. gascae Fischer-Piette & Gaillard, 1971; Littorina saxatilis var. groenlandica (Menke, 1830); Littorina saxatilis var. hieroglyphica Fischer-Piette, Gaillard & Jouin, 1961; Littorina saxatilis var. intermedia Forbes & Hanley, 1850 (synonym); Littorina saxatilis var. interrupta Fischer-Piette, Gaillard & Jouin, 1961; Littorina saxatilis var. laevis Jeffreys, 1865 (synonym); Littorina saxatilis var. lagunae Barnes, 1993; Littorina saxatilis var. lineata Dautzenberg & P. Fisher, 1912; Littorina saxatilis var. lugubris Dautzenberg & P. Fisher, 1912; Littorina saxatilis var. lutea Dautzenberg & Durouchoux, 1900 (synonym); Littorina saxatilis var. matoni Dautzenberg & Fischer H., 1912 (synonym); Littorina saxatilis var. nigra Fischer-Piette & Gaillard, 1971; Littorina saxatilis var. nojensis Fischer-Piette & Gaillard, 1964; Littorina saxatilis var. rubra Fischer-Piette & Gaillard, 1971; Littorina saxatilis var. rubrolineata Fischer-Piette, Gaillard & Delmas, 1967; Littorina saxatilis var. rudis (Maton, 1797); Littorina saxatilis var. salvati Fischer-Piette, Gaillard & Delmas, 1967; Littorina saxatilis var. sanguinea Coen, 1933; Littorina saxatilis var. sanguinea Dautzenberg & Durouchoux, 1900 (synonym); Littorina saxatilis var. sellensis Fischer-Piette & Gaillard, 1964; Littorina saxatilis var. similis Jeffreys, 1865 (synonym); Littorina saxatilis var. tessellata Dautzenberg, 1893 (synonym); Littorina saxatilis var. tractibus Fischer-Piette, Gaillard & Jouin, 1961; Littorina saxatilis var. trifasciata Dautzenberg & P. Fisher, 1912; Littorina saxatilis zonata Daniel, 1883; Littorina saxoides Nardo, 1847; Littorina simplex Reeve, 1857; Littorina tenebrosa (Montagu, 1803); Littorina tenebrosa f. elatior Middendorff, 1849; Littorina tenebrosa var. costulata Middendorff, 1849; Littorina tenebrosa var. densecostulata Middendorff, 1849; Littorina tenebrosa var. grisolacteus Middendorff, 1849; Littorina tenebrosa var. intermedia Forbes & Hanley, 1850; Littorina tenebrosa var. rubidus Middendorff, 1849; Littorina tenebrosa var. tessellatus Middendorff, 1849; Littorina tenebrosa var. zonatus Middendorff, 1849; Littorina zonaria Bean, 1844; Nerita rustica Nardo, 1847; Turbo albocinctus Link, 1807 (synonym); Turbo davidis Röding, 1798 (synonym); Turbo diminutus Link, 1807 (synonym); Turbo groenlandicus Röding, 1798 (synonym); Turbo jugosus Montagu, 1803 (synonym); Turbo obligatus Say, 1822; Turbo rudis Maton, 1797; Turbo rudissimus G. Johnston, 1842; Turbo saxatilis Olivi, 1792; Turbo tenebrosus Montagu, 1803 (synonym); Turbo vestitus Say, 1822 (synonym)","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","original name Turbo saxatilis Olivi, 1792; most synonyms are subspecies","direct observation; in literature","periwinkle","snails","Gastropoda","x","x","NA","Y","y","y",2,3.29448035542925e-29
8,"8","8.1","1","8","Littorina littorea","8","Littorina littorea","adult","Littorina littorea","Mollusca","Gastropoda","Littorinimorpha","Littorina","littorea","species","herbivore","heterotroph","mobile","resident","yes","yes","Cerion botrys Röding, 1798 (junior synonym); Littorina armoricana Locard, 1886; Littorina bartonensis T. Brown, 1843; Littorina communis T. Brown, 1843; Littorina litorea [sic] (misspelling of Littorina littorea (Linnaeus, 1758)); Littorina parva Teilman-Friis, 1898; Littorina rudis var. aurantia Dautzenberg & P. Fischer, 1925; Littorina rudis var. reevei Harmer, 1921; Littorina sphaeroidalis Locard, 1886; Littorina vulgaris J. Sowerby, 1832; Turbo bicarinatus Woodward, 1833; Turbo carinatus Woodward, 1833; Turbo elongatus Woodward, 1833; Turbo litoreus [sic] (misspelling); Turbo littoreus Linnaeus, 1758 (original combination); Turbo sulcatus Woodward, 1833; Turbo ustulatus Lamarck, 1822; Turbo ventricosus Woodward, 1833","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Original name Turbo littoreus Linnaeus, 1758","direct observation; in literature","common periwinkle","snails","Gastropoda","x","x","NA","Y","y","y",2,5.06886634963244e-30
9,"9","9.1","1","9","Littorina obtusata","9","Littorina obtusata","adult","Littorina obtusata","Mollusca","Gastropoda","Littorinimorpha","Littorina","obtusata","species","herbivore","heterotroph","mobile","resident","yes","yes","Litorina arctica Møller, 1842; Litorina ioides Menke, 1845; Litorina obtusata (Linnaeus, 1758); Littorelaea pultneyii Leach in Gray, 1847; Littorina aestuarii Jeffreys, 1865; Littorina arctica (Møller, 1842); Littorina arctica var. angulata M. Sars, 1851; Littorina arctica var. elatior Sars M., 1851 (synonym); Littorina arctica var. eliator M. Sars, 1851; Littorina groenlandica var. laevior Mörch, 1857; Littorina palliata (Say, 1821); Littorina peconica S. Smith, 1860 (synonym); Littorina preconica S. Smith, 1860; Littorina tenebrosa f. elatiorcrassa Middendorff, 1849; Littorina tenebrosa var. obtusataea Middendorff, 1849; Nerita litoralis W. Turton, 1819; Nerita littoralis Linnaeus, 1758 (synonym); Turbo neritiformis T. Brown, 1827; Turbo obtusatus Linnaeus, 1758 (original combination); Turbo palliatus Say, 1822; Turbo retusus Lamarck, 1822","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","smooth periwinkle","snails","Gastropoda","x","x","NA","Y","y","y",2,3.37746482487301e-29
11,"11","11.1","1","11","Lacuna vincta","11","Lacuna vincta","adult","Lacuna vincta","Mollusca","Gastropoda","Littorinimorpha","Lacuna","vincta","species","herbivore","heterotroph","mobile","resident","yes","yes","Epheria vincta (Montagu, 1803); Lacuna albella Lovén, 1846 (synonym); Lacuna arctica Philippi, 1853 (synonym); Lacuna carinata Gould, 1848; Lacuna frigida Lovén, 1846 (synonym); Lacuna gracilior Metcalfe in Thorpe, 1844 (synonym); Lacuna labiosa Lovén, 1846 (synonym); Lacuna pertusa Conrad, 1831 (synonym); Lacuna solidula Lovén, 1846 (synonym); Lacuna vincta var. fusca Gould, 1841 (synonym); Phasianella bifasciata T. Brown, 1827 (synonym); Phasianella cornea T. Brown, 1827 (synonym); Phasianella striata T. Brown, 1827 (synonym); Trochus divaricatus Fabricius, 1780 (synonym); Turbo canalis Montagu, 1803 (synonym); Turbo quadrifasciatus Montagu, 1803 (synonym); Turbo vinctus Montagu, 1803","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Half of synonyms inlcuded in search 1, remaining (starting after Lacuna pertusa in the next columns)","direct observation; in literature","northern lacuna","snails","Gastropoda","","x","NA","Y","y","y",2,1.59847049570956e-29
13,"13","13.1","1","13","Testudinalia testudinalis","13","Testudinalia testudinalis","adult","Testudinalia testudinalis","Mollusca","Gastropoda","Lottioidea","Testudinalia","testudinalis","species","herbivore","heterotroph","mobile","resident","yes","yes","Acmaea fergusoni Wheat, 1913 (synonym); Acmaea tessulata (O. F. Müller, 1776); Acmaea testudinalis (O. F. Müller, 1776); Collisella tessulata (O. F. Müller, 1776); Lottia testudinalis (O. F. Müller, 1776); Notoacmea testudinalis (O. F. Müller, 1776); Patella amoena Say, 1822 (synonym); Patella clealandi J. Fleming, 1828 (synonym); Patella clypea T. Brown, 1827 (synonym); Patella tessulata O. F. Müller, 1776; Patella testudinalis O. F. Müller, 1776 (original combination); Tectura tessulata (O. F. Müller, 1776); Tectura testudinalis (O. F. Müller, 1776); Testudinalia tessellata (O.F. Müller, 1776) (misspelling); Testudinalia tessulata (O. F. Müller, 1776)","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","Tectura testudinalis most commonly used name in literature; synonyms split up, four searches needed.  Last three searches are listed in synonym search, separated by semicolon","direct observation; in literature","tortoise shell limpet","snails","Gastropoda","","x","NA","Y","y","y",2,4.26108148335787e-30
14,"14","14.1","1","14","Nucella lapillus","14","Nucella lapillus","adult","Nucella lapillus","Mollusca","Gastropoda","Neogastropoda","Nucella","lapillus","species","predator","heterotroph","mobile","resident","yes","yes","Buccinum filosum Gmelin, 1791 (synonym); Buccinum lapillus Linnaeus, 1758 (original combination); Nassa ligata Röding, 1798 (synonym); Nassa rudis Roding, 1798 (synonym); Nucella lapillus var. major Jeffreys, 1867 (synonym); Nucella lapillus var. minor Jeffreys, 1867 (synonym); Nucella theobroma Roding, 1798 (synonym); Purpura bizonalis Lamarck, 1822 (synonym); Purpura buccinoidea Blainville, 1829 (synonym); Purpura celtica Locard, 1886 (synonym); Purpura imbricata Lamarck, 1822 (synonym); Purpura lapillina Locard, 1886 (synonym); Purpura lapillus (Linnaeus, 1758); Purpura lapillus var. anomala Middendorff, 1849 (synonym); Purpura lapillus var. aurantia Dautzenberg, 1887 (synonym); Purpura lapillus var. bizonalis Lamarck, 1822 (synonym); Purpura lapillus var. caerulescens Dautzenberg, 1920 (synonym); Purpura lapillus var. castanea Dautzenberg, 1887 (synonym); Purpura lapillus var. celtica Locard, 1886 (synonym); Purpura lapillus var. citrina Dautzenberg, 1920 (synonym); Purpura lapillus var. crassissima Dautzenberg, 1887 (synonym); Purpura lapillus var. fauce-violaceo Dautzenberg, 1887 (synonym); Purpura lapillus var. fusco-apicata Dautzenberg & Fischer, 1925 (synonym); Purpura lapillus var. lactea Dautzenberg, 1887 (synonym); Purpura lapillus var. major Jeffreys, 1867 (synonym); Purpura lapillus var. minor Jeffreys, 1867 (synonym); Purpura lapillus var. mixta Dautzenberg, 1920 (synonym); Purpura lapillus var. monozonalis Dautzenberg, 1920 (synonym); Purpura lapillus var. ponderosa Verkrüzen, 1881 (synonym); Purpura lineolata Dautzenberg, 1887 (synonyms); Thais lapillus (Linnaeus, 1758) (synonym)","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","dogwhelk","snails","Gastropoda","x","x","NA","Y","y","y",3.11111111111112,0.0224691358024691
